id,name
3360105,Krajský soud v Ostravě
3360106,Institut pro kriminologii a sociální prevenci
3360107,Nejvyšší soud ČR
3360108,Nejvyšší státní zastupitelství Brno
3360109,Vrchní státní zastupitelství v Praze
3360110,Vrchní soud v Olomouci
3360111,Vrchní státní zastupitelství v Olomouci
3360112,Okresní soud Jeseník
3360113,Probační a mediační služba
3360114,Justiční akademie
3360115,Nejvyšší správní soud
3430001,Úřad pro ochranu osobních údajů
3440001,Úřad průmyslového vlastnictví
3450001,Český statistický úřad
3460001,Český úřad zeměměřický a katastrální
3460002,Katastrální úřad pro Středočeský kraj
3460003,Katastrální úřad pro Jihočeský kraj
3460004,Katastrální úřad pro Plzeňský kraj
3460005,Katastrální úřad pro Liberecký kraj
3460006,Katastrální úřad pro Pardubický kraj
3460007,Katastrální úřad pro Jihomoravský kraj
3460008,Zeměměřický a katastrální inspektorát v Opavě
3460009,Katastrální úřad pro Moravskoslezský kraj
3460010,Zeměměřický a katastrální inspektorát v Liberci
3460011,Zeměměřický a katastrální inspektorát v Brně
3460012,Zeměměřický a katastrální inspektorát v Plzni
3460013,Zeměměřický a katastrální inspektorát v Pardubicích
3460014,Zeměměřický a katastrální inspektorát v Českých Budějovicích
3460015,Zeměměřický a katastrální inspektorát v Praze
3460016,Zeměměřický úřad
3460017,Katastrální úřad pro Olomoucký kraj
3460018,Katastrální úřad pro Ústecký kraj
3460019,Katastrální úřad pro Vysočinu
3460020,Katastrální úřad pro Zlínský kraj
3460021,Katastrální úřad pro hlavní město Prahu
3460022,Katastrální úřad pro Karlovarský kraj
3460023,Katastrální úřad pro Královéhradecký kraj
3480001,Český báňský úřad
3490001,Energetický regulační úřad
3530001,Úřad pro ochranu hospodářské soutěže
3550001,Ústav pro studium totalitních režimů
3550002,Archiv bezpečnostních složek
3580001,Ústavní soud
3590001,Úřad Národní rozpočtové rady
3610001,Akademie věd České republiky
3620001,Národní sportovní agentura
3640001,Digitální a informační agentura
3710001,Úřad pro dohled nad hospodařením politických stran a politických hnutí
3720001,Rada pro rozhlasové a televizní vysílání
3740001,Správa státních hmotných rezerv
3750001,Státní úřad pro jadernou bezpečnost
3760001,Generální inspekce bezpečnostních sborů
3770001,Technologická agentura České republiky
3780001,Národní úřad pro kybernetickou a informační bezpečnost
3810001,Nejvyšší kontrolní úřad
3960001,Státní dluh
3970001,Operace státních finančních aktiv
3980001,Všeobecná pokladní správa
9000205,Česká průmyslová zdravotní pojišťovna
9000207,Oborová zdravotní pojišťovna
9000213,"RBP, zdravotní pojišťovna"
9000201,Vojenská zdravotní pojišťovna ČR
9000111,Všeobecná zdravotní pojišťovna
9000209,Zaměstnanecká pojišťovna Škoda
9000211,Zdravotní pojišťovna ministerstva vnitra ČR
