id,name_short,name,name_long
3711,Odstr.tuh.emisí,Odstraňování tuhých emisí,Odstraňování tuhých emisí
371100,Odstr.tuh.emisí,Odstraňování tuhých emisí,Odstraňování tuhých emisí
371130,Odstr.tuh.emisí,Odstraňování tuhých emisí-Zahr.rozvoj.spolup.,Odstraňování tuhých emisí-Zahraniční rozvojová spolupráce
371131,Odstr.tuh.emisí,Odstraňování tuhých emisí-Prevence soc.a krim,Odstraňování tuhých emisí-Program sociální prevence a prevence kriminality
371132,Odstr.tuh.emisí,Odstraňování tuhých emisí-Protidrog.politika,Odstraňování tuhých emisí-Program protidrogové politiky
371133,Odstr.tuh.emisí,Odstraňování tuhých emisí-Integr.romské kom.,Odstraňování tuhých emisí-Podpora projektů integrace příslušníků romské komunity
371134,Odstr.tuh.emisí,Odstraňování tuhých emisí-Příprava kriz.sit.,Odstraňování tuhých emisí-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
3712,Odstr.plyn.emisí,Odstraňování plynných emisí,Odstraňování plynných emisí
371200,Odstr.plyn.emisí,Odstraňování plynných emisí,Odstraňování plynných emisí
371230,Odstr.plyn.emisí,Odstraňování plynných emisí-Zahr.rozvoj.spolup.,Odstraňování plynných emisí-Zahraniční rozvojová spolupráce
371231,Odstr.plyn.emisí,Odstraňování plynných emisí-Prevence soc.a krim,Odstraňování plynných emisí-Program sociální prevence a prevence kriminality
371232,Odstr.plyn.emisí,Odstraňování plynných emisí-Protidrog.politika,Odstraňování plynných emisí-Program protidrogové politiky
371233,Odstr.plyn.emisí,Odstraňování plynných emisí-Integr.romské kom.,Odstraňování plynných emisí-Podpora projektů integrace příslušníků romské komunity
371234,Odstr.plyn.emisí,Odstraňování plynných emisí-Příprava kriz.sit.,Odstraňování plynných emisí-Zajištění přípravy na krizové situace podle zákona č. 240/2000 Sb.
3713,Zm. techn.vytáp.,Změny technologií vytápění,Změny technologií vytápění
371300,Zm. techn.vytáp.,Změny technologií vytápění,Změny technologií vytápění
