id,id_level,id_1,id_2,id_3,id_4,name_short,name,name_long
5325,4,5,53,532,5325,NeinvT RR,Neinvestiční transfery regionálním radám,Neinvestiční transfery regionálním radám
5329,4,5,53,532,5329,Ost.neivT-území,Ostatní neinvestiční transfery veřejným rozpočtům územní úro,Ostatní neinvestiční transfery veřejným rozpočtům územní úrovně
533,3,5,53,533,,NeinvTransf.PO,Neinvestiční transfery příspěvkovým a podobným organizacím,Neinvestiční transfery příspěvkovým a podobným organizacím
5331,4,5,53,533,5331,Neinv.pří.vl.PO,Neinvestiční příspěvky zřízeným příspěvkovým organizacím,Neinvestiční příspěvky zřízeným příspěvkovým organizacím
5332,4,5,53,533,5332,NeinvD VŠ,Neinvestiční transfery vysokým školám,Neinvestiční transfery vysokým školám
5333,4,5,53,533,5333,NeinT šk.pr.osob,Neinvestiční transfery školským právnickým osobámzřízeným st,"Neinvestiční transfery školským právnickým osobámzřízeným státem, kraji a obcemi"
5334,4,5,53,533,5334,NeinT veř.výz.in,Neinvestiční transfery veřejným výzkumným institucím,Neinvestiční transfery veřejným výzkumným institucím
5336,4,5,53,533,5336,Neinv. D zříz.PO,Neinvestiční dotace zřízeným příspěvkovým organizacím,Neinvestiční dotace zřízeným příspěvkovým organizacím
5336,4,5,53,533,5336,Neinv.transf.zříz.PO,Neinvestiční transfery zřízeným příspěvkovým organizacím,Neinvestiční transfery zřízeným příspěvkovým organizacím
5339,4,5,53,533,5339,Neinv. T cizím PO,Neinvestiční  transfery cizím příspěvkovým organizacím,Neinvestiční  transfery cizím příspěvkovým organizacím
534,3,5,53,534,,Přev.vl.fondům,Převody vlastním fondům,Převody vlastním fondům
534,3,5,53,534,,Př.fondy (bez subj),Převody vl.fondům a ve vztahu k útvarům bez plné práv.subj.,Převody vlastním fondům a ve vztahu k útvarům bez plné právní subjektivity
534,3,5,53,534,,Nivpř.fondy+bez subj,Neinv. převody vl. fondů a k útvarům bez plné právní subj.,Neinvestiční převody vlastním fondům a ve vztahu k útvarům bez plné právní subjektivity
5341,4,5,53,534,5341,Přev.fondům HČ,Převody vlastním fondům hospodářské (podnikatelské) činnosti,Převody vlastním fondům hospodářské (podnikatelské) činnosti
5342,4,5,53,534,5342,Převody FKSP,Převody FKSP a sociálnímu fondu obcí a krajů,Převody fondu kulturních a sociálních potřeb a sociálnímu fondu obcí a krajů
5342,4,5,53,534,5342,Základní příděl FKSP,Základní příděl FKSP a sociálnímu fondu obcí a krajů,Základní příděl fondu kulturních a sociálních potřeb a sociálnímu fondu obcí a krajů
5343,4,5,53,534,5343,Přev.jin.fondům,Převody jiným vlastním fondům a účtům nemajícím charakter ve,Převody jiným vlastním fondům a účtům nemajícím charakter veřejných rozpočtů
5343,4,5,53,534,5343,Přev.na úč. záv.str.,Převody na účet závodního stravování,Převody na účet závodního stravování
5343,4,5,53,534,5343,Přev.na účty nev.roz,Převody na účty nemající povahu veřejných rozpočtů,Převody na účty nemající povahu veřejných rozpočtů
5344,4,5,53,534,5344,Převody vl.RF,Převody vlastním rezervním fondům územních rozpočtů,Převody vlastním rezervním fondům územních rozpočtů
5345,4,5,53,534,5345,Přev.vl.rozp.úč.,Převody vlastním rozpočtovým účtům,Převody vlastním rozpočtovým účtům
5346,4,5,53,534,5346,Přev.dofondů OSS,Převody do fondů organizačních složek státu,Převody do fondů organizačních složek státu
5347,4,5,53,534,5347,Přev.statut.m.výdaje,Převody mezi statut.městy (Prahou) a obvody/částmi-výdaje,Převody mezi statutárními městy (hl.m.Prahou) a jejich městskými obvody nebo částmi - výdaje
5347,4,5,53,534,5347,Nivpř.statut.m.výdaj,Neinv.převody-statutární města (Praha) a obvody/části-výdaje,Neinvestiční převody mezi statutárními městy (hl. m. Prahou) a jejich městskými obvody nebo částmi - výdaje
5348,4,5,53,534,5348,Přev. do vl.pokladny,Převody do vlastní pokladny,Převody do vlastní pokladny
5349,4,5,53,534,5349,Ost. přev. vl.F,Ostatní převody vlastním fondům,Ostatní převody vlastním fondům
535,3,5,53,535,,Pře.do vl.F přes rok,Převody do vlastních fondů přes rok,Převody do vlastních fondů přes rok
5350,4,5,53,535,5350,Pře.do vl.F přes rok,Převody do vlastních fondů přes rok,Převody do vlastních fondů přes rok
536,3,5,53,536,,"Daně,popl.,vrat.",Ostatní neinvestiční transfery jiným veřejným rozpočtům,Ostatní neinvestiční transfery jiným veřejným rozpočtům
536,3,5,53,536,,Ost.neinv.T veř.roz,"Ostat.neinv.transf.jiným veř.rozp.,pl.daní a další povin.pl.","Ostatní neinvestiční transfery jiným veřejným rozpočtům, platby daní a další povinné platby"
5361,4,5,53,536,5361,Nákup kolků,Nákup kolků,Nákup kolků
5362,4,5,53,536,5362,Platby daní SR,Platby daní a poplatků státnímu rozpočtu,Platby daní a poplatků státnímu rozpočtu
5363,4,5,53,536,5363,Úhr.skcí jiným R,Úhrady sankcí jiným rozpočtům,Úhrady sankcí jiným rozpočtům
5364,4,5,53,536,5364,Vratky T - ústředí,Vratky veřejným rozpočtům ústřední úrovně transferů poskytnu,Vratky veřejným rozpočtům ústřední úrovně transferů poskytnutých v minulých rozpočtových obdobích
5364,4,5,53,536,5364,Vratky T - ústředí,Vratky transf. poskytnutých z veř. rozpočtů ústřední úrovně,Vratky transferů poskytnutých z veřejných rozpočtů ústřední úrovně
5364,4,5,53,536,5364,Vratky T-veřej.rozp.,Vratky transferů poskytnutých z veřejných rozpočtů,Vratky transferů poskytnutých z veřejných rozpočtů
5365,4,5,53,536,5365,PlatDaň ÚSC a SF,"Platby daní a poplatků krajům, obcím a státním fondům","Platby daní a poplatků krajům, obcím a státním fondům"
5366,4,5,53,536,5366,V FV kraj-obce,Výdaje z finančního vypořádání minulých let mezi krajem a ob,Výdaje z finančního vypořádání minulých let mezi krajem a obcemi
5367,4,5,53,536,5367,V fin.vyp - obce,Výdaje z finančního vypořádání minulých let mezi obcemi,Výdaje z finančního vypořádání minulých let mezi obcemi
5368,4,5,53,536,5368,V fin.vyp RR-ÚSC,Výdaje z finančního vypořádání minulých let mezi regionální,"Výdaje z finančního vypořádání minulých let mezi regionální radou a kraji, obcemi a dobrovolnými svazky obcí"
5369,4,5,53,536,5369,Ost. neinvT VR,Ostatní neinvestiční transfery jiným veřejným rozpočtům,Ostatní neinvestiční transfery jiným veřejným rozpočtům
54,2,5,54,,,NeinvT obyv.,Neinvestiční transfery obyvatelstvu,Neinvestiční transfery obyvatelstvu
541,3,5,54,541,,Sociální dávky,Sociální dávky,Sociální dávky
5410,4,5,54,541,5410,Sociální dávky,Sociální dávky,Sociální dávky
542,3,5,54,542,,Náhr.pl.obyv.,Náhrady placené obyvatelstvu,Náhrady placené obyvatelstvu
5421,4,5,54,542,5421,Náhr.úraz.poj.,Náhrady z úrazového pojištění,Náhrady z úrazového pojištění
5422,4,5,54,542,5422,Náhr.pov.rehab.,Náhrady povahy rehabilitací,Náhrady povahy rehabilitací
5423,4,5,54,542,5423,Náhrady mezd,Náhrady mezd podle zákona č. 118/2000 Sb.,Náhrady mezd podle zákona č. 118/2000 Sb.
5424,4,5,54,542,5424,Náhrady mezd,Náhrady mezd v době nemoci,Náhrady mezd v době nemoci
5425,4,5,54,542,5425,Příspěvek dárci,Příspěvek na pohřeb dárce org.a náhrada posk.žijícímu dárci,Příspěvek na náklady pohřbu dárce orgánu a náhrada poskytovaná žijícímu dárci
5429,4,5,54,542,5429,Ost.náhr. obyv.,Ostatní náhrady placené obyvatelstvu,Ostatní náhrady placené obyvatelstvu
549,3,5,54,549,,OstatníT obyv.,Ostatní neinvestiční transfery obyvatelstvu,Ostatní neinvestiční transfery obyvatelstvu
5491,4,5,54,549,5491,"Stipendia ž,st,dokt.","Stipendia žákům, studentům a doktorandům","Stipendia žákům, studentům a doktorandům"
5492,4,5,54,549,5492,Dary obyv.,Dary obyvatelstvu,Dary obyvatelstvu
5493,4,5,54,549,5493,Neinv.T fyz.osob,Účelové neinvestiční transfery nepodnikajícím fyzickým osobá,Účelové neinvestiční transfery nepodnikajícím fyzickým osobám
5493,4,5,54,549,5493,Neinv.T fyz.osob,Účelové neinvestiční transfery fyzickým osobám,Účelové neinvestiční transfery fyzickým osobám
5494,4,5,54,549,5494,NeinvT obyv.,Neinvestiční transfery obyvatelstvu nemající charakter daru,Neinvestiční transfery obyvatelstvu nemající charakter daru
5495,4,5,54,549,5495,Stabil.přísp.vojákům,Stabilizační příspěvek vojákům,Stabilizační příspěvek vojákům
5496,4,5,54,549,5496,Služ.př.voj.-bydlení,Služební příspěvek vojákům na bydlení,Služební příspěvek vojákům na bydlení
5497,4,5,54,549,5497,Náborový příspěvek,Náborový příspěvek,Náborový příspěvek
5498,4,5,54,549,5498,Kv.př.a jed.pen.v.v,Kvalifikační příspěvek a jednorázová peněžní výpomoc vojákům,Kvalifikační příspěvek a jednorázová peněžní výpomoc vojákům
